key,source,target
TLStringTextTooltip/TEXT_TOOLTIP_RESTORATION_GOLD_DESC,Use Sollant to recover losses.,
TLStringTextTooltip/TEXT_TOOLTIP_RESTORATION_EINHASAD_TOKEN_DESC,Use Restoration Coin to recover losses.,
TLStringTextTooltip/TEXT_TOOLTIP_PARTY_FINDBOARD_RECRUITMENT_CHANGES,Change Recruitment Ad,
TLStringTextTooltip/TEXT_TOOLTIP_PARTY_FINDBOARD_RECRUITMENT_CANCELED,Cancel,
TLStringTextTooltip/TEXT_TOOLTIP_PARTY_FINDBOARD_SEARCH_REFRESH,Refresh,
TLStringTextTooltip/TEXT_TOOLTIP_CONTETNSOPEN_CO_TIMEATTACKDUNGEON_TITLE,Gate of Infinity,
TLStringTextTooltip/TEXT_TOOLTIP_CONTEXTMENU_PC_PARTY_ENTRUST,Appoint Party Leader,
TLStringTextTooltip/TEXT_TOOLTIP_CONTEXTMENU_PC_PARTY_KICK,Kick from Party,
TLStringTextTooltip/TEXT_TOOLTIP_CONTEXTMENU_PC_PARTY_KICK_VOTE,Propose to Kick from Party,
TLStringTextTooltip/TEXT_TOOLTIP_CONTEXTMENU_PC_PARTY_WITHDRAW,Leave Party,
TLStringTextTooltip/TEXT_TOOLTIP_CONTETNSOPEN_CO_TIMEATTACKDUNGEON_DESCRIPTION,Can be used after Lv. 50.,
TLStringTextTooltip/TEXT_TOOLTIP_CONTETNSOPEN_CO_ARENA_DESCRIPTION,Can be used after Lv. 50.,
TLStringTextTooltip/TEXT_TOOLTIP_PARTY_FINDBOARD_VALIDTIME,Extend Party Recruitment Time,
TLStringTextTooltip/TEXT_TOOLTIP_PARTY_FINDBOARD_VALIDTIME_DESC,Extends the time allotted for recruiting party members.,
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_CONTRACT_CONTRIBUTION_REWAD,"When completing a Guild Contract, you can acquire additional rewards for every ^<c=@Notification_Highlight>1%^</c> Contribution.",
TLStringTextTooltip/TEXT_TOOLTIP_GUILD_DONATE_DESC,"Receive a reward whenever you donate resources to the Guild.
The resources accumulated through donations are utilized for necessary expenses, allowing the Guild to operate.",
TLStringTextTooltip/TEXT_TOOLTIP_PARTY_FINDBOARD_VALIDTIME_REMAINING,Party Recruitment Time,
TLStringTextTooltip/TEXT_TOOLTIP_REQUEST_STACK_UI_CANCEL,Deny {1} requested by {0}.,
TLStringTextTooltip/TEXT_TOOLTIP_REQUEST_STACK_UI_ACEEPT,Accept {1} requested by {0}.,
